Meso	VM	SM	CM	Meso_SM	VM_SM	Tin_2_4h	Tin_4_6h	Tin_6_8h	Bin_6_8h	Bin_8_10h	Bin_10_12h	Twi_2_4h	Twi_4_6h	Twi_6_8h	Bap_6_8h	Mef2_2_4h	Mef2_4_6h	Mef2_6_8h	Mef2_8_10h	Mef2_10_12h
0	0	0	0	0	0	0.00249687890137328	0.0112359550561798	0.0137328339575531	0.017478152309613	0.00998751560549313	0.0411985018726592	0.871410736579276	0.0274656679151061	0	0.0287141073657928	0	0	0.00124843945068664	0.00124843945068664	0.0212234706616729
0	0	0	0	0	0	0.00873907615480649	0.0149812734082397	0.228464419475655	0.966292134831461	0.754057428214732	0.243445692883895	0	0.852684144818976	0	0.352059925093633	0	0	0	0	0.0262172284644195
0	0	0	0	0	0	0.0187265917602996	0.00499375780274657	0.00998751560549313	0.0112359550561798	0.0112359550561798	0.0499375780274657	0	0.00624219725343321	0	0.0599250936329588	0	0	0.747815230961298	0.215980024968789	0.966292134831461
0	0	0	0	0	0	0.00624219725343321	0.052434456928839	0.00499375780274657	0.0124843945068664	0.0137328339575531	0.66167290886392	0	0.00374531835205993	0.00124843945068664	0.0424469413233458	0.00249687890137328	0	0	0.00374531835205993	0.108614232209738
0	0	0	0	0	0	0.845193508114856	0.822721598002497	0.252184769038702	0.0337078651685393	0.0262172284644195	0.0686641697877653	0	0.0124843945068664	0	0.17478152309613	0.930087390761548	0.521847690387016	0.254681647940075	0.162297128589263	0.153558052434457
0	0	0	0	0	0	0.0162297128589263	0.0461922596754057	0.00374531835205993	0.239700374531835	0.151061173533084	0.779026217228464	0.802746566791511	0.00749063670411985	0	0.0511860174781523	0	0	0.00749063670411985	0.995006242197253	1
0	0	0	0	0	0	0	0.252184769038702	0.0199750312109863	0.00624219725343321	0.0674157303370786	0.0149812734082397	0.00499375780274657	0.262172284644195	0.00624219725343321	0.0187265917602996	0	0	0	0	0.0287141073657928
0	0	0	0	0	0	0.747815230961298	0	0.322097378277154	0.00374531835205993	0.284644194756554	0.0811485642946317	0.0112359550561798	0.995006242197253	0.990012484394507	0.0199750312109863	0.245942571785268	1	0	0	0.0374531835205993
0	0	0	0	0	0	0.0449438202247191	0.677902621722846	0	0.65792759051186	0.0399500624219725	0.0749063670411985	0	0.00499375780274657	0.00873907615480649	0.887640449438202	0.260923845193508	0.00624219725343321	0.197253433208489	0.675405742821473	0.0149812734082397
0	0	0	0	0	0	0	0	0.164794007490637	0	0.948813982521848	0.660424469413233	0	0.00124843945068664	0	0.838951310861423	0	0	0	0.00124843945068664	0.419475655430712
0	0	0	0	0	0	0	0	0.00124843945068664	0.0511860174781523	0	0.85518102372035	0	0.00374531835205993	0	0.017478152309613	0	0	0	0.00124843945068664	0.0262172284644195
0	0	0	0	0	0	0	0.00124843945068664	0	0.0898876404494382	0.14481897627965	0	0	0.00249687890137328	0	0.00624219725343321	0	0	0	0.00124843945068664	0.00998751560549313
0	0	0	0	0	0	0	0	0	0.00749063670411985	0	0.0224719101123595	0	0.0162297128589263	0	0.00249687890137328	0	0	0.00374531835205993	0.00249687890137328	0.0137328339575531
0	0	0	0	0	0	0	0.00499375780274657	0	0.00249687890137328	0.0923845193508115	0.0224719101123595	0.983770287141074	0	0.993757802746567	0.00998751560549313	0	0.993757802746567	0.00124843945068664	0	0.0199750312109863
0	0	0	0	0	0	0	0	0	0	0.00249687890137328	0.00374531835205993	0	0.00624219725343321	0	0.00124843945068664	0	0	0.0262172284644195	0	0.0137328339575531
0	0	0	0	0	0	0	0	0.112359550561798	0.161048689138577	0.00499375780274657	0.0212234706616729	0	0.00374531835205993	0	0	0	0	0.00374531835205993	0.0224719101123595	0.00499375780274657
0	0	0	0	0	0	0	0	0.00624219725343321	0	0.0337078651685393	0.0162297128589263	0	0.00124843945068664	0	0.0224719101123595	0	0.172284644194757	0.454431960049938	0.253433208489388	0.393258426966292
0	0	0	0	0	0	0	0	0	0.00249687890137328	0.127340823970037	0.034956304619226	0	0.00624219725343321	0.00873907615480649	0.0162297128589263	0.692883895131086	0	0.957553058676654	0.0112359550561798	0.00873907615480649
0	0	0	0	0	0	0	0	0	0.00124843945068664	0.0249687890137328	0.0187265917602996	0	0	0.973782771535581	0.0249687890137328	0.0212234706616729	0.0424469413233458	0	0.219725343320849	0.00499375780274657
0	0	0	0	0	0	0	0	0.00374531835205993	0.034956304619226	0.00749063670411985	0.0187265917602996	0	0	0	0.0848938826466916	0.0187265917602996	0.779026217228464	0.780274656679151	0	0.98876404494382
0	0	0	0	0	0	0	0	0	0	0	0.00374531835205993	0	0	0	0.0337078651685393	0	0	0	0.0112359550561798	0
