nodes	zero	one	two
Tin_2_4h-Tin_4_6h	0.604	0.396	0
Tin_2_4h-Twi_4_6h	0.240666666666667	0.654666666666667	0.104666666666667
Tin_2_4h-Meso_SM	0.594	0	0.406
Tin_4_6h-Twi_4_6h	0.268666666666667	0.711	0.0203333333333333
Tin_4_6h-Twi_6_8h	0.368666666666667	0.629	0.00233333333333333
Tin_4_6h-Mef2_2_4h	0.993333333333333	0.00633333333333333	0.000333333333333333
Tin_4_6h-Mef2_4_6h	0.790666666666667	0.209333333333333	0
Tin_4_6h-Meso_SM	0.302	0	0.698
Tin_6_8h-Bin_6_8h	0.312	0.268	0.42
Tin_6_8h-Bap_6_8h	0.482666666666667	0.517333333333333	0
Tin_6_8h-Meso_SM	0.203666666666667	0	0.796333333333333
Bin_6_8h-Bin_8_10h	0.732333333333333	0.267666666666667	0
Bin_6_8h-Bin_10_12h	0.476666666666667	0.382666666666667	0.140666666666667
Bin_6_8h-Bap_6_8h	0.707333333333333	0.292666666666667	0
Bin_6_8h-VM	0.804666666666667	0	0.195333333333333
Bin_8_10h-Bin_10_12h	0.453666666666667	0.546333333333333	0
Bin_8_10h-VM	0.332333333333333	0	0.667666666666667
Bin_10_12h-VM	0.16	0	0.84
Bin_10_12h-CM	0.249666666666667	0	0.750333333333333
Bin_10_12h-VM_SM	0.537	0	0.463
Twi_2_4h-Twi_4_6h	0.126666666666667	0.873333333333333	0
Twi_2_4h-Meso	0.970333333333333	0	0.0296666666666667
Twi_2_4h-VM_SM	0.994666666666667	0	0.00533333333333333
Twi_4_6h-Twi_6_8h	0.580666666666667	0.419333333333333	0
Twi_4_6h-Mef2_4_6h	0.801	0.199	0
Twi_6_8h-Mef2_6_8h	0.382666666666667	0.617333333333333	0
Mef2_2_4h-Mef2_6_8h	0.00733333333333333	0.992666666666667	0
Mef2_2_4h-Mef2_10_12h	0.0106666666666667	0.913666666666667	0.0756666666666667
Mef2_2_4h-Meso_SM	0.368666666666667	0	0.631333333333333
Mef2_4_6h-Mef2_6_8h	0.215666666666667	0.784333333333333	0
Mef2_4_6h-Meso_SM	0.478333333333333	0	0.521666666666667
Mef2_6_8h-Mef2_8_10h	0.728333333333333	0.271666666666667	0
Mef2_6_8h-Meso_SM	0.196	0	0.804
Mef2_8_10h-Mef2_10_12h	0.857666666666667	0.142333333333333	0
Mef2_8_10h-Meso_SM	0.155333333333333	0	0.844666666666667
Mef2_10_12h-SM	0.726333333333333	0	0.273666666666667
Mef2_10_12h-Meso_SM	0.121	0	0.879
Mef2_10_12h-VM_SM	0.999666666666667	0	0.000333333333333333
