Meso	VM	SM	CM	Meso_SM	VM_SM	Tin_2_4h	Tin_4_6h	Tin_6_8h	Bin_6_8h	Bin_8_10h	Bin_10_12h	Twi_2_4h	Twi_4_6h	Twi_6_8h	Bap_6_8h	Mef2_2_4h	Mef2_4_6h	Mef2_6_8h	Mef2_8_10h	Mef2_10_12h
Meso	0	0	0	0	0	0	0	0	0	0	0	0	0.014	0	0	0	0	0	0	0	0.018
VM	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0
SM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Meso_SM	0	0	0	0	0	0	0.066	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VM_SM	0.018	0	0	0	0.009	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0.008
Tin_2_4h	0	0	0	0	0.529	0	0	1	0	0	0	0	0	0.223	0	0	0	0	0	0	0
Tin_4_6h	0	0	0	0	0.103	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Tin_6_8h	0	0	0	0	0.002	0	0	0	0	0	0	0	0.001	0	0	1	0.016	0	0.289	0.001	0
Bin_6_8h	0	0.586	0	0	0	0	0	0	0	0	1	0	0.008	0	0	0	0	0	0	0	0
Bin_8_10h	0	0.382	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bin_10_12h	0	0.001	0	0	0	0.022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Twi_2_4h	0.019	0	0	0	0	0	0	0	0.033	0	0	0	0	0.269	0	0	0	0	0	0	0
Twi_4_6h	0	0	0	0	0	0	0.777	0.015	0	0	0	0	0.731	0	0.646	0	0	0.987	0	0	0
Twi_6_8h	0	0	0	0	0	0	0	1	0	0	0	0	0	0.354	0	0	0	0	0.754	0	0
Bap_6_8h	0	0	0	0	0	0	0	0	0	1	0	0	0.022	0	0	0	0	0	0	0	0
Mef2_2_4h	0	0	0	0	0.315	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mef2_4_6h	0	0	0	0	0.012	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Mef2_6_8h	0	0	0	0	0	0	0	0	0.688	0	0	0	0	0	0.246	0	0.01	1	0	0.847	0
Mef2_8_10h	0	0	0	0	0	0.01	0	0	0.017	0	0	0	0	0	0	0	0.045	0.126	0.153	0	0.975
Mef2_10_12h	0	0	0.003	0	0	0.992	0	0	0	0	0	0	0	0	0	0	0.004	0	0	0.025	0
