nodes	zero	one	two
Tin_2_4h-Bin_10_12h	0.0543333333333333	0.0446666666666667	0.901
Tin_2_4h-Twi_2_4h	0.119333333333333	0.074	0.806666666666667
Tin_2_4h-Twi_4_6h	0.299333333333333	0.483333333333333	0.217333333333333
Tin_2_4h-Twi_6_8h	0.413333333333333	0.319	0.267666666666667
Tin_2_4h-Bap_6_8h	0.0413333333333333	0.0393333333333333	0.919333333333333
Tin_2_4h-Mef2_2_4h	0.056	0.0323333333333333	0.911666666666667
Tin_2_4h-Mef2_4_6h	0.097	0.046	0.857
Tin_2_4h-Mef2_6_8h	0.069	0.073	0.858
Tin_2_4h-Mef2_8_10h	0.054	0.0856666666666667	0.860333333333333
Tin_2_4h-Mef2_10_12h	0.0533333333333333	0.0843333333333333	0.862333333333333
Tin_4_6h-Tin_6_8h	0.573666666666667	0.421666666666667	0.00466666666666667
Tin_4_6h-Bin_6_8h	0.134666666666667	0.0756666666666667	0.789666666666667
Tin_4_6h-Bin_8_10h	0.189333333333333	0.054	0.756666666666667
Tin_4_6h-Bin_10_12h	0.155	0.0826666666666667	0.762333333333333
Tin_4_6h-Twi_2_4h	0.123	0.225333333333333	0.651666666666667
Tin_4_6h-Twi_4_6h	0.787	0.194666666666667	0.0183333333333333
Tin_4_6h-Twi_6_8h	0.814666666666667	0.131	0.0543333333333333
Tin_4_6h-Bap_6_8h	0.104333333333333	0.204	0.691666666666667
Tin_4_6h-Mef2_2_4h	0.122333333333333	0.0623333333333333	0.815333333333333
Tin_4_6h-Mef2_4_6h	0.842	0.158	0
Tin_4_6h-Mef2_6_8h	0.198	0.097	0.705
Tin_4_6h-Mef2_8_10h	0.103333333333333	0.0866666666666667	0.81
Tin_4_6h-Mef2_10_12h	0.0486666666666667	0.0843333333333333	0.867
Tin_6_8h-Bin_6_8h	0.398	0.377	0.225
Tin_6_8h-Bin_8_10h	0.0506666666666667	0.156666666666667	0.792666666666667
Tin_6_8h-Bin_10_12h	0.09	0.0523333333333333	0.857666666666667
Tin_6_8h-Twi_2_4h	0.287	0.229	0.484
Tin_6_8h-Twi_4_6h	0.0413333333333333	0.0433333333333333	0.915333333333333
Tin_6_8h-Twi_6_8h	0.203333333333333	0.114333333333333	0.682333333333333
Tin_6_8h-Bap_6_8h	0.661333333333333	0.338666666666667	0
Tin_6_8h-Mef2_2_4h	0.623666666666667	0.198	0.178333333333333
Tin_6_8h-Mef2_4_6h	0.154	0.117	0.729
Tin_6_8h-Mef2_6_8h	0.514	0.449666666666667	0.0363333333333333
Tin_6_8h-Mef2_8_10h	0.206	0.119333333333333	0.674666666666667
Tin_6_8h-Mef2_10_12h	0.037	0.052	0.911
Bin_6_8h-Bin_8_10h	0.649	0.351	0
Bin_6_8h-Bin_10_12h	0.462666666666667	0.389333333333333	0.148
Bin_6_8h-Twi_2_4h	0.369	0.0916666666666667	0.539333333333333
Bin_6_8h-Twi_4_6h	0.0343333333333333	0.034	0.931666666666667
Bin_6_8h-Twi_6_8h	0.05	0.023	0.927
Bin_6_8h-Bap_6_8h	0.828	0.171666666666667	0.000333333333333333
Bin_6_8h-Mef2_2_4h	0.104	0.052	0.844
Bin_6_8h-Mef2_4_6h	0.122	0.0306666666666667	0.847333333333333
Bin_6_8h-Mef2_6_8h	0.0443333333333333	0.0423333333333333	0.913333333333333
Bin_6_8h-Mef2_8_10h	0.336333333333333	0.104333333333333	0.559333333333333
Bin_6_8h-Mef2_10_12h	0.281333333333333	0.0766666666666667	0.642
Bin_8_10h-Bin_10_12h	0.642333333333333	0.357666666666667	0
Bin_8_10h-Twi_2_4h	0.052	0.0386666666666667	0.909333333333333
Bin_8_10h-Twi_4_6h	0.044	0.124333333333333	0.831666666666667
Bin_8_10h-Twi_6_8h	0.0626666666666667	0.0383333333333333	0.899
Bin_8_10h-Bap_6_8h	0.0623333333333333	0.049	0.888666666666667
Bin_8_10h-Mef2_2_4h	0.042	0.062	0.896
Bin_8_10h-Mef2_4_6h	0.104	0.125	0.771
Bin_8_10h-Mef2_6_8h	0.0813333333333333	0.0896666666666667	0.829
Bin_8_10h-Mef2_8_10h	0.082	0.0563333333333333	0.861666666666667
Bin_8_10h-Mef2_10_12h	0.044	0.0383333333333333	0.917666666666667
Bin_10_12h-Twi_2_4h	0.144	0.086	0.77
Bin_10_12h-Twi_4_6h	0.0456666666666667	0.0663333333333333	0.888
Bin_10_12h-Twi_6_8h	0.08	0.028	0.892
Bin_10_12h-Bap_6_8h	0.0463333333333333	0.0373333333333333	0.916333333333333
Bin_10_12h-Mef2_2_4h	0.0426666666666667	0.049	0.908333333333333
Bin_10_12h-Mef2_4_6h	0.0666666666666667	0.054	0.879333333333333
Bin_10_12h-Mef2_6_8h	0.0733333333333333	0.0456666666666667	0.881
Bin_10_12h-Mef2_8_10h	0.109	0.0573333333333333	0.833666666666667
Bin_10_12h-Mef2_10_12h	0.0463333333333333	0.0423333333333333	0.911333333333333
Twi_2_4h-Twi_4_6h	0.332333333333333	0.667666666666667	0
Twi_2_4h-Twi_6_8h	0.0756666666666667	0.0406666666666667	0.883666666666667
Twi_2_4h-Bap_6_8h	0.0413333333333333	0.117333333333333	0.841333333333333
