nodes	zero	one	two
Tin_2_4h-Tin_4_6h	0.392	0.608	0
Tin_2_4h-Tin_6_8h	0.186333333333333	0.142333333333333	0.671333333333333
Tin_2_4h-Bin_6_8h	0.0516666666666667	0.066	0.882333333333333
Tin_2_4h-Bin_8_10h	0.087	0.0513333333333333	0.861666666666667
Tin_2_4h-Bin_10_12h	0.045	0.0313333333333333	0.923666666666667
Tin_2_4h-Twi_2_4h	0.059	0.0756666666666667	0.865333333333333
Tin_2_4h-Twi_4_6h	0.197	0.672666666666667	0.130333333333333
Tin_2_4h-Twi_6_8h	0.277	0.321	0.402
Tin_2_4h-Bap_6_8h	0.0383333333333333	0.026	0.935666666666667
Tin_2_4h-Mef2_2_4h	0.0523333333333333	0.0223333333333333	0.925333333333333
Tin_2_4h-Mef2_4_6h	0.179	0.0766666666666667	0.744333333333333
Tin_2_4h-Mef2_6_8h	0.0503333333333333	0.08	0.869666666666667
Tin_2_4h-Mef2_8_10h	0.061	0.0846666666666667	0.854333333333333
Tin_2_4h-Mef2_10_12h	0.091	0.054	0.855
Tin_2_4h-Meso	0.201333333333333	0	0.798666666666667
Tin_2_4h-VM	0.119333333333333	0	0.880666666666667
Tin_2_4h-SM	0.718333333333333	0	0.281666666666667
Tin_2_4h-CM	0.279333333333333	0	0.720666666666667
Tin_2_4h-Meso_SM	0.588666666666667	0	0.411333333333333
Tin_2_4h-VM_SM	0.0963333333333333	0	0.903666666666667
Tin_4_6h-Tin_6_8h	0.564666666666667	0.432666666666667	0.00266666666666667
Tin_4_6h-Bin_6_8h	0.107666666666667	0.059	0.833333333333333
Tin_4_6h-Bin_8_10h	0.139333333333333	0.033	0.827666666666667
Tin_4_6h-Bin_10_12h	0.278	0.0496666666666667	0.672333333333333
Tin_4_6h-Twi_2_4h	0.0743333333333333	0.209666666666667	0.716
Tin_4_6h-Twi_4_6h	0.386666666666667	0.56	0.0533333333333333
Tin_4_6h-Twi_6_8h	0.568666666666667	0.388333333333333	0.043
Tin_4_6h-Bap_6_8h	0.0913333333333333	0.0466666666666667	0.862
Tin_4_6h-Mef2_2_4h	0.127666666666667	0.0326666666666667	0.839666666666667
Tin_4_6h-Mef2_4_6h	0.701666666666667	0.297666666666667	0.000666666666666667
Tin_4_6h-Mef2_6_8h	0.134333333333333	0.148	0.717666666666667
Tin_4_6h-Mef2_8_10h	0.074	0.065	0.861
Tin_4_6h-Mef2_10_12h	0.126333333333333	0.0676666666666667	0.806
Tin_4_6h-Meso	0.151	0	0.849
Tin_4_6h-VM	0.240666666666667	0	0.759333333333333
Tin_4_6h-SM	0.136333333333333	0	0.863666666666667
Tin_4_6h-CM	0.348333333333333	0	0.651666666666667
Tin_4_6h-Meso_SM	0.328	0	0.672
Tin_4_6h-VM_SM	0.413333333333333	0	0.586666666666667
Tin_6_8h-Bin_6_8h	0.531	0.244333333333333	0.224666666666667
Tin_6_8h-Bin_8_10h	0.0583333333333333	0.142	0.799666666666667
Tin_6_8h-Bin_10_12h	0.0946666666666667	0.061	0.844333333333333
Tin_6_8h-Twi_2_4h	0.201666666666667	0.368333333333333	0.43
Tin_6_8h-Twi_4_6h	0.0926666666666667	0.0493333333333333	0.858
Tin_6_8h-Twi_6_8h	0.218666666666667	0.149	0.632333333333333
Tin_6_8h-Bap_6_8h	0.863333333333333	0.136666666666667	0
Tin_6_8h-Mef2_2_4h	0.655	0.135	0.21
Tin_6_8h-Mef2_4_6h	0.116666666666667	0.0866666666666667	0.796666666666667
Tin_6_8h-Mef2_6_8h	0.451	0.53	0.019
Tin_6_8h-Mef2_8_10h	0.140666666666667	0.105666666666667	0.753666666666667
Tin_6_8h-Mef2_10_12h	0.0503333333333333	0.0393333333333333	0.910333333333333
Tin_6_8h-Meso	0.337	0	0.663
Tin_6_8h-VM	0.243666666666667	0	0.756333333333333
Tin_6_8h-SM	0.0986666666666667	0	0.901333333333333
Tin_6_8h-CM	0.122666666666667	0	0.877333333333333
Tin_6_8h-Meso_SM	0.153	0	0.847
Tin_6_8h-VM_SM	0.124666666666667	0	0.875333333333333
Bin_6_8h-Bin_8_10h	0.747	0.253	0
Bin_6_8h-Bin_10_12h	0.522666666666667	0.393666666666667	0.0836666666666667
Bin_6_8h-Twi_2_4h	0.329333333333333	0.203	0.467666666666667
Bin_6_8h-Twi_4_6h	0.0293333333333333	0.0493333333333333	0.921333333333333
Bin_6_8h-Twi_6_8h	0.0393333333333333	0.0286666666666667	0.932
Bin_6_8h-Bap_6_8h	0.684333333333333	0.315666666666667	0
Bin_6_8h-Mef2_2_4h	0.101666666666667	0.0336666666666667	0.864666666666667
Bin_6_8h-Mef2_4_6h	0.102	0.0483333333333333	0.849666666666667
Bin_6_8h-Mef2_6_8h	0.0323333333333333	0.054	0.913666666666667
Bin_6_8h-Mef2_8_10h	0.259	0.0936666666666667	0.647333333333333
Bin_6_8h-Mef2_10_12h	0.242	0.087	0.671
Bin_6_8h-Meso	0.132333333333333	0	0.867666666666667
Bin_6_8h-VM	0.637333333333333	0	0.362666666666667
Bin_6_8h-SM	0.103	0	0.897
Bin_6_8h-CM	0.0916666666666667	0	0.908333333333333
Bin_6_8h-Meso_SM	0.128	0	0.872
Bin_6_8h-VM_SM	0.270666666666667	0	0.729333333333333
Bin_8_10h-Bin_10_12h	0.385333333333333	0.614666666666667	0
Bin_8_10h-Twi_2_4h	0.039	0.0513333333333333	0.909666666666667
Bin_8_10h-Twi_4_6h	0.046	0.163	0.791
Bin_8_10h-Twi_6_8h	0.0466666666666667	0.048	0.905333333333333
Bin_8_10h-Bap_6_8h	0.0653333333333333	0.0616666666666667	0.873
Bin_8_10h-Mef2_2_4h	0.0386666666666667	0.071	0.890333333333333
Bin_8_10h-Mef2_4_6h	0.0926666666666667	0.143666666666667	0.763666666666667
Bin_8_10h-Mef2_6_8h	0.064	0.124666666666667	0.811333333333333
Bin_8_10h-Mef2_8_10h	0.0783333333333333	0.05	0.871666666666667
Bin_8_10h-Mef2_10_12h	0.053	0.04	0.907
Bin_8_10h-Meso	0.217	0	0.783
Bin_8_10h-VM	0.280666666666667	0	0.719333333333333
Bin_8_10h-SM	0.0973333333333333	0	0.902666666666667
Bin_8_10h-CM	0.137666666666667	0	0.862333333333333
Bin_8_10h-Meso_SM	0.147333333333333	0	0.852666666666667
Bin_8_10h-VM_SM	0.141333333333333	0	0.858666666666667
Bin_10_12h-Twi_2_4h	0.193	0.23	0.577
Bin_10_12h-Twi_4_6h	0.059	0.134666666666667	0.806333333333333
Bin_10_12h-Twi_6_8h	0.062	0.0356666666666667	0.902333333333333
Bin_10_12h-Bap_6_8h	0.0413333333333333	0.0443333333333333	0.914333333333333
Bin_10_12h-Mef2_2_4h	0.0503333333333333	0.038	0.911666666666667
Bin_10_12h-Mef2_4_6h	0.0606666666666667	0.057	0.882333333333333
Bin_10_12h-Mef2_6_8h	0.0633333333333333	0.0606666666666667	0.876
Bin_10_12h-Mef2_8_10h	0.183	0.079	0.738
Bin_10_12h-Mef2_10_12h	0.038	0.038	0.924
Bin_10_12h-Meso	0.364	0	0.636
Bin_10_12h-VM	0.225	0	0.775
Bin_10_12h-SM	0.122	0	0.878
Bin_10_12h-CM	0.261333333333333	0	0.738666666666667
Bin_10_12h-Meso_SM	0.182666666666667	0	0.817333333333333
Bin_10_12h-VM_SM	0.377	0	0.623
Twi_2_4h-Twi_4_6h	0.399666666666667	0.600333333333333	0
Twi_2_4h-Twi_6_8h	0.0993333333333333	0.032	0.868666666666667
Twi_2_4h-Bap_6_8h	0.075	0.0723333333333333	0.852666666666667
Twi_2_4h-Mef2_2_4h	0.415	0.115666666666667	0.469333333333333
Twi_2_4h-Mef2_4_6h	0.048	0.024	0.928
Twi_2_4h-Mef2_6_8h	0.142666666666667	0.114	0.743333333333333
Twi_2_4h-Mef2_8_10h	0.136666666666667	0.145333333333333	0.718
Twi_2_4h-Mef2_10_12h	0.318	0.339666666666667	0.342333333333333
Twi_2_4h-Meso	0.88	0	0.12
Twi_2_4h-VM	0.187333333333333	0	0.812666666666667
Twi_2_4h-SM	0.143666666666667	0	0.856333333333333
Twi_2_4h-CM	0.339333333333333	0	0.660666666666667
Twi_2_4h-Meso_SM	0.196	0	0.804
Twi_2_4h-VM_SM	0.982333333333333	0	0.0176666666666667
Twi_4_6h-Twi_6_8h	0.824	0.176	0
Twi_4_6h-Bap_6_8h	0.046	0.0206666666666667	0.933333333333333
Twi_4_6h-Mef2_2_4h	0.0643333333333333	0.007	0.928666666666667
Twi_4_6h-Mef2_4_6h	0.909666666666667	0.089	0.00133333333333333
Twi_4_6h-Mef2_6_8h	0.0866666666666667	0.0643333333333333	0.849
Twi_4_6h-Mef2_8_10h	0.138666666666667	0.0983333333333333	0.763
Twi_4_6h-Mef2_10_12h	0.160666666666667	0.0623333333333333	0.777
Twi_4_6h-Meso	0.142333333333333	0	0.857666666666667
Twi_4_6h-VM	0.719666666666667	0	0.280333333333333
Twi_4_6h-SM	0.157666666666667	0	0.842333333333333
Twi_4_6h-CM	0.142333333333333	0	0.857666666666667
Twi_4_6h-Meso_SM	0.117	0	0.883
Twi_4_6h-VM_SM	0.150333333333333	0	0.849666666666667
Twi_6_8h-Bap_6_8h	0.041	0.04	0.919
Twi_6_8h-Mef2_2_4h	0.0403333333333333	0.0206666666666667	0.939
Twi_6_8h-Mef2_4_6h	0.173333333333333	0.302666666666667	0.524
Twi_6_8h-Mef2_6_8h	0.259333333333333	0.740666666666667	0
Twi_6_8h-Mef2_8_10h	0.0326666666666667	0.049	0.918333333333333
Twi_6_8h-Mef2_10_12h	0.0636666666666667	0.051	0.885333333333333
Twi_6_8h-Meso	0.119	0	0.881
Twi_6_8h-VM	0.123333333333333	0	0.876666666666667
Twi_6_8h-SM	0.149666666666667	0	0.850333333333333
Twi_6_8h-CM	0.212333333333333	0	0.787666666666667
Twi_6_8h-Meso_SM	0.119666666666667	0	0.880333333333333
Twi_6_8h-VM_SM	0.131666666666667	0	0.868333333333333
Bap_6_8h-Mef2_2_4h	0.057	0.0323333333333333	0.910666666666667
Bap_6_8h-Mef2_4_6h	0.0293333333333333	0.0443333333333333	0.926333333333333
Bap_6_8h-Mef2_6_8h	0.0433333333333333	0.105666666666667	0.851
Bap_6_8h-Mef2_8_10h	0.108666666666667	0.173666666666667	0.717666666666667
Bap_6_8h-Mef2_10_12h	0.0466666666666667	0.154333333333333	0.799
Bap_6_8h-Meso	0.124666666666667	0	0.875333333333333
Bap_6_8h-VM	0.33	0	0.67
Bap_6_8h-SM	0.125333333333333	0	0.874666666666667
Bap_6_8h-CM	0.0923333333333333	0	0.907666666666667
Bap_6_8h-Meso_SM	0.535333333333333	0	0.464666666666667
Bap_6_8h-VM_SM	0.0943333333333333	0	0.905666666666667
Mef2_2_4h-Mef2_4_6h	0.104333333333333	0.894	0.00166666666666667
Mef2_2_4h-Mef2_6_8h	0.0656666666666667	0.491666666666667	0.442666666666667
Mef2_2_4h-Mef2_8_10h	0.0556666666666667	0.387333333333333	0.557
Mef2_2_4h-Mef2_10_12h	0.0956666666666667	0.543	0.361333333333333
Mef2_2_4h-Meso	0.156	0	0.844
Mef2_2_4h-VM	0.122	0	0.878
Mef2_2_4h-SM	0.105333333333333	0	0.894666666666667
Mef2_2_4h-CM	0.257666666666667	0	0.742333333333333
Mef2_2_4h-Meso_SM	0.506	0	0.494
Mef2_2_4h-VM_SM	0.273	0	0.727
Mef2_4_6h-Mef2_6_8h	0.434333333333333	0.565666666666667	0
Mef2_4_6h-Mef2_8_10h	0.097	0.868333333333333	0.0346666666666667
Mef2_4_6h-Mef2_10_12h	0.0356666666666667	0.0596666666666667	0.904666666666667
Mef2_4_6h-Meso	0.144666666666667	0	0.855333333333333
Mef2_4_6h-VM	0.124666666666667	0	0.875333333333333
Mef2_4_6h-SM	0.136	0	0.864
Mef2_4_6h-CM	0.138	0	0.862
Mef2_4_6h-Meso_SM	0.395666666666667	0	0.604333333333333
Mef2_4_6h-VM_SM	0.124333333333333	0	0.875666666666667
Mef2_6_8h-Mef2_8_10h	0.463	0.537	0
Mef2_6_8h-Mef2_10_12h	0.0866666666666667	0.107333333333333	0.806
Mef2_6_8h-Meso	0.221666666666667	0	0.778333333333333
Mef2_6_8h-VM	0.157333333333333	0	0.842666666666667
Mef2_6_8h-SM	0.552333333333333	0	0.447666666666667
Mef2_6_8h-CM	0.113333333333333	0	0.886666666666667
Mef2_6_8h-Meso_SM	0.143666666666667	0	0.856333333333333
Mef2_6_8h-VM_SM	0.186	0	0.814
Mef2_8_10h-Mef2_10_12h	0.62	0.38	0
Mef2_8_10h-Meso	0.351666666666667	0	0.648333333333333
Mef2_8_10h-VM	0.213666666666667	0	0.786333333333333
Mef2_8_10h-SM	0.121333333333333	0	0.878666666666667
Mef2_8_10h-CM	0.098	0	0.902
Mef2_8_10h-Meso_SM	0.137666666666667	0	0.862333333333333
Mef2_8_10h-VM_SM	0.398666666666667	0	0.601333333333333
Mef2_10_12h-Meso	0.197333333333333	0	0.802666666666667
Mef2_10_12h-VM	0.288333333333333	0	0.711666666666667
Mef2_10_12h-SM	0.426333333333333	0	0.573666666666667
Mef2_10_12h-CM	0.130666666666667	0	0.869333333333333
Mef2_10_12h-Meso_SM	0.122666666666667	0	0.877333333333333
Mef2_10_12h-VM_SM	0.991666666666667	0	0.00833333333333333
